documentId,emotionId,emotion_words
131,5,tropic storm paul s outer band hit mexico s baja california
132,3,isra bomblet plagu lebanon
133,1,new indonesia calam a mud bath is man made
134,1,u s weigh sanction against north korea
135,1,rice in baghdad insist that iraqi ar
136,5,senat sai u s should rethink iraq strategi
137,4,german chief forg accord on financ health care
138,1,turkish writer sai effort to stifl speech mai backfir
139,3,kurdish lawmak kill in an attack in baghdad
140,1,anti u s attack video spread on the internet
141,2,women face greatest threat of violenc at home studi find
142,4,appeal by chines research for time mai soon be heard
143,5,brazil air forc cite fault and confus in fatal crash
144,3,a mix of oil and environment
145,4,immigr and french reach deal in standoff
146,1,genghi khan beer mongolia grimac
147,6,dead bachelor in remot china still find wive
148,4,pari journal smoke no longer tre chic in franc
149,6,an old letter cast doubt on iran s goal for uranium
150,3,u s warn north korean about nuclear test
151,5,global sludg end in tragedi for ivori coast
152,5,equip on plane in brazil collis mai have been faulti
153,5,new indonesia calam a mud bath is man made
154,3,iraqi journalist add law to list of danger
155,3,u n forc is tread lightli on lebanes soil
156,5,cleric said to lose rein over part of iraqi militia
157,6,cite spy agenc studi democrat seek iraq chang
158,5,opera cancel over a depict of muhammad
159,4,militari offici add to u s critic of iraq s govern
160,3,teacher in hide after attack on islam stir threat
161,3,comb bush releas part of terror studi
162,3,grow unarm battalion in qaeda armi is us internet to get the messag out
163,3,iraqi link to sunni bloc is held in plot militari sai
164,2,seduc by snack no not you
165,4,friend for life an emerg biologi of emot heal
166,5,alzheim s drug offer no help studi find
167,5,across europ worri on islam spread to center
168,4,cook defin sephard jew at sukkot
169,4,fit bodi in motion clean and sober
170,4,in god s name religion base tax break hous to paycheck to book
171,5,yanke di in plane crash offici sai
172,5,an eleph crackup
173,4,with youtub grad student hit jackpot again
174,4,dow flirt with record high again
175,3,tropic storm isaac form in atlant
176,3,new iraq terror tape call for abduct foreign
177,5,deep regret for ex hp exec
178,4,opportun knock on geologist s dream crater
179,6,squirrel jump boi in park rabi suspect
180,5,girl left comatos after dental visit di
181,2,porn star candid campaign on campu
182,5,school end footbal season after start
183,4,charli sheen to becom highest paid sitcom star
184,6,jon stewart mock benefit of cnn s i
185,6,ashton kutcher tell secret to ryan seacrest
186,2,nail on chalkboard studi earn ig
187,5,gunman fine befor shoot
188,6,marijuana mai stave off alzheim s
189,4,kentucki seek alcohol huf ban
190,5,toddler di from taint spinach
191,6,judg dismiss karr s porn case
192,3,die in hour kashmir standoff
193,5,slain amish girl laid to rest
194,3,flee plant fire
195,4,cher auction fetch doubl pre sale estim
196,2,star scuffl on grei s anatomi
197,5,probe under wai in yanke crash
198,5,amish schoolhous torn down
199,5,warner will not run in
200,6,reid land deal under scrutini
201,5,flood wash out road to valdez alaska
202,5,briton admit u s bomb plot role
203,1,commentari minutemen have a right to be idiot
204,4,madonna file adopt paper
205,3,gunmen kill at iraqi tv station
206,5,hastert sorri for scandal but not quit
207,1,ex jonbenet suspect child porn case drop
208,5,wast plant fire forc to evacu
209,5,toddler di from e coli taint spinach
210,2,disturb find in child sex raid
211,1,magazin list women who had abort
212,6,pot smoker mai avoid alzheim s studi sai
213,5,student start white men s club on campu
214,6,kentucki want to ban alcohol inhal
215,6,peter pan fli into chapter two
216,4,teen repel inventor win infam prize
217,4,cher s dress car bed have new owner
218,4,dow hit new record ey
219,6,ex virginia gov not run for presid
220,6,yanke pitcher s pilot log found
221,1,dem leader s million land deal under scrutini
222,5,dad lock up son watch on tv polic sai
223,5,navarrett minutemen have a right to be idiot
224,5,pit bull jump miniatur poni leav her bloodi
225,3,alaska town cut off from rest of state by flood
226,4,trailblaz trio protect citi by the bai
227,4,madonna file adopt paper in malawi
228,5,dr mcdreami choke in grei s scuffl
229,4,poetri prize award
230,4,la vega honour for tiger pair
231,4,uk charact boost box offic
232,4,cher item snap up at auction
233,2,griffith scorn withnail plai
234,4,lili allen win web music award
235,1,costner appeal in casino wrangl
236,1,beyonc copyright claim reject
237,4,cohn gunman jail for year
238,4,melua s deep sea gig set record
239,5,sri lanka clash kill troop
240,5,gunmen kill in iraq tv raid
241,6,itali drop sicili bridg plan
242,5,amish kill school demolish
243,4,pamuk win nobel literatur prize
244,4,madonna adopt bid approv
245,3,man admit uk us terror bomb plot
246,2,who ar you call fat
